title,date
"다올투자증권, 오투저축은행서 6.94% 보유 신규 보고",2024. 12. 30.
다올투자증권 3대 주주로 세코그룹 등장···경영권 분쟁 새 국면?,2024. 12. 31.
뚝뚝 떨어지는 저축은행 예금금리…2%대 진입,4주 전
12개월 최고 연 5.00%…오투저축은행 '오 정기적금‘ [이주의 저축은행 적금금리-5월 3주],2024. 5. 19.
"다중채무자 규제에...저축은행 ""대손충당금 어쩌나"" 전전긍긍",2024. 7. 18.
"세코그룹, 다올투자증권 노린다…7% 지분 확보",2024. 12. 30.
정기예금 4월 브랜드평판 1위는 농협은행,2024. 4. 24.
"[현미경] 저축은행 17곳, 부동산 대출비중 50% 넘는다",2024. 5. 2.
"오투저축은행, PF 리스크 관리 시급",2023. 5. 12.
12개월 최고 연 4.01%…오투저축은행 '비대면 정기예금' [이주의 저축은행 예금금리-4월 3주],2024. 4. 21.
저축은행 건설·부동산업 연체만 4조6000억…PF 연착륙 '막막',2024. 12. 4.
다올투자증권에 ‘3대주주’ 등장...경영권 다툼 불씨 되살아나나,2025. 1. 8.
"오투·인천·더블 등 저축銀 6곳, 금감원 무더기 제재",2023. 4. 10.
"'부실PF 우려' 속 저축은행들 제재…""여신 편중 관리해야""",2023. 5. 6.
흥국 ·오투·인천·더블저축銀 떨고 있니?…금감원 경고장 날렸다,2023. 5. 6.
12개월 최고 연 5%…오투저축은행 '오 정기적금‘ [이주의 저축은행 적금금리-5월 4주],2024. 5. 26.
불붙은 수신경쟁에 등 터지는 저축은행,2023. 10. 12.
12개월 최고 연 4.1%…조은저축은행 ‘SB톡톡 정기예금’ [이주의 저축은행 예금금리-5월 1주],2024. 5. 5.
12개월 최고 연 4.0%…대백·드림·머스트삼일·민국·오투·조은저축은행 정기예금 [이주의 저축은행 예금금리-4월 2주],2024. 4. 14.
똑같은 저축은행 예·적금이라도 금리 더 주는 '조건' 있다,2024. 1. 16.
"""대출자에 직접 전화로 확인""…금감원, 저축銀 고강도 점검",2023. 8. 20.
[2월 4주] 저축은행 정기예금(12개월) 최고 연 4.5%…평균 금리 0.16%p 하락,2023. 2. 26.
연 5% 예금 무리인데...시중은행 4%대 금리에 저축은행 노심초사,2023. 10. 11.
"IBK證, 인베스터유나이티드와 시너지 창출 업무협약",2024. 2. 29.
저축은행 예금금리 하락세…실효성도 의문 '사면초가',2024. 4. 27.
[10월 3주] 저축은행 정기적금(12개월) 최고 연 10%…웰컴저축銀 ‘웰뱅워킹적금’,2022. 10. 23.
"금감원, 저축은행 PF 고강도 점검 나서",2023. 8. 20.
"오투저축은행, 영업정지 위기 벗어나",2012. 11. 20.
"IBK투자증권, 인베스터유나이티드와 금융 시너지 창출 위한 MOU 체결",2024. 2. 29.
"IBK證-인베스터유나이티드, MOU 체결···""M&A 등 자문 강화""",2024. 2. 29.
'저축은행은 회복중'..유니온·세종·오투저축은행 매각 완료,2012. 11. 13.
[7월1주차 저축은행 금리]1년 정기예금 최고금리 2.8%,2019. 7. 7.
[3월1주차 저축은행 금리]1년 정기예금 최고금리 2.77%,2019. 3. 2.
[5월5주차 저축은행 금리]1년 정기예금 최고금리 2.66%,2019. 6. 1.
[2월 4주] 저축은행 정기예금(12개월) 최고우대금리 2.77%,2019. 2. 24.
"[브랜드평판] 저축은행 2024년 1월 빅데이터 1위 SBI저축은행, 2위 OK저축은행, 3위 웰컴저축은행",2024. 1. 15.
SC·골든브릿지·흥국저축은행 최종 인수 마무리 단계,2015. 1. 9.
아산 대성저축은행 매각 승인,2010. 12. 3.
"IBK투자증권, 인베스터유나이티드와 시너지 창출 MOU 체결",2024. 2. 29.
자칭 '노조 브레이커' 흥국저축은행 대표이사…의혹 투성이,2018. 3. 28.
지역저축銀 정상… 실적은 '부진',2011. 10. 4.
[6월 3주차] 정기예금·정기적금 금리 비교! 시중은행·저축은행 예금·적금이자 높은 은행 총정리,2019. 6. 18.
